frame,tipo_objeto,conf,track_id,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula
108,car,0.576,2,1264,313,1299,350,0.0,0.0,0.0,0.0,0.0,
109,bus,0.668,1,1299,232,1446,379,0.0,0.0,0.0,0.0,0.0,
109,car,0.793,7,1438,319,1513,384,0.0,0.0,0.0,0.0,0.0,
109,person,0.881,3,31,232,162,492,0.0,0.0,0.0,0.0,0.0,
109,car,0.54,2,1263,314,1297,349,0.0,0.0,0.0,0.0,0.0,
110,bus,0.715,1,1298,232,1445,378,0.0,0.0,0.0,0.0,0.0,
110,car,0.795,7,1437,319,1514,384,0.0,0.0,0.0,0.0,0.0,
110,person,0.902,3,36,234,166,491,0.0,0.0,0.0,0.0,0.0,
110,car,0.531,2,1263,315,1296,349,0.0,0.0,0.0,0.0,0.0,
111,bus,0.734,1,1297,232,1443,377,0.0,0.0,0.0,0.0,0.0,
111,car,0.791,7,1437,319,1514,384,0.0,0.0,0.0,0.0,0.0,
111,person,0.897,3,39,237,168,491,0.0,0.0,0.0,0.0,0.0,
111,car,0.536,2,1262,315,1296,349,0.0,0.0,0.0,0.0,0.0,
112,bus,0.758,1,1296,232,1442,378,0.0,0.0,0.0,0.0,0.0,
